"","brand","therapeutic_area"
"1","brand_1","Nervous_system"
"2","brand_2","Respiratory_and_Immuno_inflammatory"
"3","brand_3","Cardiovascular_Metabolic"
"4","brand_4","Cardiovascular_Metabolic"
"5","brand_5","Cardiovascular_Metabolic"
"6","brand_6","Cardiovascular_Metabolic"
"7","brand_7","Cardiovascular_Metabolic"
"8","brand_8","Muscoskeletal_Rheumatology_and_Osteology"
"9","brand_9","Nervous_system"
"10","brand_10","Muscoskeletal_Rheumatology_and_Osteology"
"11","brand_11","Muscoskeletal_Rheumatology_and_Osteology"
"12","brand_12","Endocrinology_and_Metabolic_Disease"
"13","brand_13","Sensory_organs"
"14","brand_14","Cardiovascular_Metabolic"
"15","brand_15","Cardiovascular_Metabolic"
"16","brand_16","Muscoskeletal_Rheumatology_and_Osteology"
"17","brand_17","Respiratory_and_Immuno_inflammatory"
"18","brand_18","Dermatology"
"19","brand_19","Respiratory_and_Immuno_inflammatory"
"20","brand_20","Antineoplastic_and_immunology"
"21","brand_21","Respiratory_and_Immuno_inflammatory"
"22","brand_22","Respiratory_and_Immuno_inflammatory"
"23","brand_23","Cardiovascular_Metabolic"
"24","brand_24","Nervous_system"
"25","brand_25","Obstetrics_Gynaecology"
"26","brand_26","Endocrinology_and_Metabolic_Disease"
"27","brand_27","Sensory_organs"
"28","brand_28","Cardiovascular_Metabolic"
"29","brand_29","Sensory_organs"
"30","brand_30","Endocrinology_and_Metabolic_Disease"
"31","brand_31","Cardiovascular_Metabolic"
"32","brand_32","Cardiovascular_Metabolic"
"33","brand_33","Endocrinology_and_Metabolic_Disease"
"34","brand_34","Obstetrics_Gynaecology"
"35","brand_35","Obstetrics_Gynaecology"
"36","brand_36","Nervous_system"
"37","brand_37","Haematology"
"38","brand_38","Haematology"
"39","brand_39","Haematology"
"40","brand_40","Cardiovascular_Metabolic"
"41","brand_42","Cardiovascular_Metabolic"
"42","brand_41","Nervous_system"
"43","brand_43","Cardiovascular_Metabolic"
"44","brand_44","Antineoplastic_and_immunology"
"45","brand_45","Muscoskeletal_Rheumatology_and_Osteology"
"46","brand_46","Nervous_system"
"47","brand_47","Antineoplastic_and_immunology"
"48","brand_48","Haematology"
"49","brand_49","Antineoplastic_and_immunology"
"50","brand_50","Muscoskeletal_Rheumatology_and_Osteology"
"51","brand_51","Endocrinology_and_Metabolic_Disease"
"52","brand_52","Respiratory_and_Immuno_inflammatory"
"53","brand_53","Cardiovascular_Metabolic"
"54","brand_54","Cardiovascular_Metabolic"
"55","brand_55","Anti_infectives"
"56","brand_56","Anti_infectives"
"57","brand_57","Obstetrics_Gynaecology"
"58","brand_58","Nervous_system"
"59","brand_59","Obstetrics_Gynaecology"
"60","brand_60","Nervous_system"
"61","brand_61","Nervous_system"
